symbol,date_et,hour_et,open,high,low,close,range
AAPL,2025-07-23,13,214.12,214.635,214.07,214.405,0.56499
AAPL,2025-07-23,14,214.405,214.695,213.94,214.14,0.755
AAPL,2025-07-23,15,214.145,214.31,213.61,214.31,0.7
AAPL,2025-07-24,9,214.06,215.69,213.53,214.46,2.16
AAPL,2025-07-24,10,214.45,215.35,214.09,215.26,1.26001
AAPL,2025-07-24,11,215.2616,215.49,214.2,214.34,1.29001
AAPL,2025-07-24,12,214.34,215.2,214.28,214.79,0.92
AAPL,2025-07-24,13,214.79,215.2,214.56,214.735,0.64
AAPL,2025-07-24,14,214.7389,215.02,214.33,214.81,0.69
AAPL,2025-07-24,15,214.811,214.94,213.72,213.76,1.22
AAPL,2025-07-25,9,214.7,214.86,213.74,214.5853,1.12
AAPL,2025-07-25,10,214.59,215.24,214.21,214.51,1.03
AAPL,2025-07-25,11,214.5,214.64,214.05,214.3896,0.59
AAPL,2025-07-25,12,214.39,214.59,214.04,214.17,0.55
AAPL,2025-07-25,13,214.1704,214.51,213.82,213.89,0.68999
AAPL,2025-07-25,14,213.91,214.01,213.4,213.5,0.61
AAPL,2025-07-25,15,213.505,214.0,213.49,213.96,0.50999
AAPL,2025-07-28,9,214.03,214.74,213.58,214.52,1.16
AAPL,2025-07-28,10,214.535,214.845,214.1223,214.435,0.7227
AAPL,2025-07-28,11,214.44,214.75,214.29,214.54,0.46001
AAPL,2025-07-28,12,214.535,214.575,213.415,213.645,1.16
AAPL,2025-07-28,13,213.635,214.02,213.62,213.8,0.40001
AAPL,2025-07-28,14,213.82,213.83,213.06,213.43,0.77
AAPL,2025-07-28,15,213.42,214.05,213.32,214.04,0.73
AAPL,2025-07-29,9,214.16,214.81,211.51,213.05,3.3
